gene	S1	S2	S3	S4	S5	S6
G1	2.0	2.3	2.6	1.2	1.0	0.8
G2	1.8	2.2	2.5	1.1	0.9	0.7
G3	1.7	2.0	2.4	1.0	0.8	0.6
G4	1.4	1.8	2.1	1.0	0.7	0.5
G5	1.2	1.6	1.9	0.9	0.6	0.4
G6	1.0	1.4	1.7	0.8	0.5	0.3
G7	0.4	0.5	0.6	1.5	1.8	2.0
G8	0.3	0.5	0.7	1.4	1.7	2.1
G9	0.2	0.4	0.6	1.3	1.6	2.0
G10	0.1	0.2	0.3	1.2	1.5	1.9
G11	0.3	0.2	0.1	1.1	1.3	1.5
G12	0.5	0.4	0.3	1.0	1.2	1.4
G13	1.0	0.8	0.6	0.5	0.7	0.9
G14	1.1	0.9	0.7	0.4	0.6	0.8
G15	1.2	1.0	0.8	0.3	0.5	0.7
G16	1.3	1.1	0.9	0.2	0.4	0.6
G17	1.4	1.2	1.0	0.1	0.3	0.5
G18	1.5	1.3	1.1	0.0	0.2	0.4
G19	1.6	1.4	1.2	-0.1	0.1	0.3
G20	1.7	1.5	1.3	-0.2	0.0	0.2
